"Zip
Code",State,"Place
Name",County,Long,Lat
501,NY,Holtsville,Suffolk,-73.0451,40.8154
544,NY,Holtsville,Suffolk,-73.0451,40.8154
1001,MA,Agawam,Hampden,-72.6227,42.0702
1002,MA,Amherst,Hampshire,-72.4646,42.3671
1003,MA,Amherst,Hampshire,-72.5248,42.3919
1004,MA,Amherst,Hampshire,-72.5132,42.3845
1005,MA,Barre,Worcester,-72.1084,42.4097
1007,MA,Belchertown,Hampshire,-72.411,42.2751
1008,MA,Blandford,Hampden,-72.9361,42.1829
1009,MA,Bondsville,Hampden,-72.3405,42.2061
1010,MA,Brimfield,Hampden,-72.1885,42.1165
1011,MA,Chester,Hampden,-72.9888,42.2794
1012,MA,Chesterfield,Hampshire,-72.8256,42.3923
1013,MA,Chicopee,Hampden,-72.6079,42.1487
1014,MA,Chicopee,Hampden,-72.6048,42.1707
1020,MA,Chicopee,Hampden,-72.5761,42.1764
1021,MA,Chicopee,Hampden,-72.6048,42.1707
1022,MA,Chicopee,Hampden,-72.5544,42.1934
1026,MA,Cummington,Hampshire,-72.9202,42.4633
1027,MA,Easthampton,Hampshire,-72.669,42.2668
1028,MA,East Longmeadow,Hampden,-72.5056,42.0672
1029,MA,East Otis,Berkshire,-73.0517,42.1909
1030,MA,Feeding Hills,Hampden,-72.6751,42.0718
1031,MA,Gilbertville,Worcester,-72.1986,42.3322
1032,MA,Goshen,Hampshire,-72.7995,42.4404
1033,MA,Granby,Hampshire,-72.52,42.2557
1034,MA,Granville,Hampden,-72.952,42.1127
1035,MA,Hadley,Hampshire,-72.5715,42.3606
1036,MA,Hampden,Hampden,-72.4318,42.0648
1037,MA,Hardwick,Worcester,-72.2253,42.3479
1038,MA,Hatfield,Hampshire,-72.6167,42.3844
1039,MA,Haydenville,Hampshire,-72.7032,42.3818
1040,MA,Holyoke,Hampden,-72.6262,42.202
1041,MA,Holyoke,Hampden,-72.6162,42.2043
1050,MA,Huntington,Hampshire,-72.8733,42.2653
1053,MA,Leeds,Hampshire,-72.7034,42.3543
1054,MA,Leverett,Franklin,-72.4993,42.4682
1056,MA,Ludlow,Hampden,-72.471,42.1728
1057,MA,Monson,Hampden,-72.3196,42.101
1059,MA,North Amherst,Hampshire,-72.5309,42.4104
1060,MA,Northampton,Hampshire,-72.6313,42.3223
1061,MA,Northampton,Hampshire,-72.636,42.3696
1062,MA,Florence,Hampshire,-72.6928,42.3219
1063,MA,Northampton,Hampshire,-72.6402,42.3179
1066,MA,North Hatfield,Hampshire,-72.6339,42.4067
1068,MA,Oakham,Worcester,-72.0513,42.348
1069,MA,Palmer,Hampden,-72.3288,42.1762
1070,MA,Plainfield,Hampshire,-72.9183,42.5144
1071,MA,Russell,Hampden,-72.8403,42.1471
1072,MA,Shutesbury,Franklin,-72.4213,42.482
1073,MA,Southampton,Hampshire,-72.7194,42.2247
1074,MA,South Barre,Worcester,-72.0954,42.3854
1075,MA,South Hadley,Hampshire,-72.5811,42.2375
1077,MA,Southwick,Hampden,-72.7706,42.0511
1079,MA,Thorndike,Hampden,-72.3296,42.1929
1080,MA,Three Rivers,Hampden,-72.3624,42.1819
1081,MA,Wales,Hampden,-72.2046,42.0627
1082,MA,Ware,Hampshire,-72.2583,42.2618
1083,MA,Warren,Worcester,-72.1994,42.204
1084,MA,West Chesterfield,Hampshire,-72.8709,42.3903
1085,MA,Westfield,Hampden,-72.7495,42.1251
1086,MA,Westfield,Hampden,-72.848,42.1734
1088,MA,West Hatfield,Hampshire,-72.6469,42.3906
1089,MA,West Springfield,Hampden,-72.6411,42.1151
1090,MA,West Springfield,Hampden,-72.6048,42.1707
1092,MA,West Warren,Worcester,-72.229,42.2029
1093,MA,Whately,Franklin,-72.6525,42.4427
1094,MA,Wheelwright,Worcester,-72.1408,42.3582
1095,MA,Wilbraham,Hampden,-72.4464,42.1245
1096,MA,Williamsburg,Hampshire,-72.778,42.4085
1097,MA,Woronoco,Hampden,-72.8295,42.164
1098,MA,Worthington,Hampshire,-72.9314,42.3843
1101,MA,Springfield,Hampden,-72.5898,42.1015
1102,MA,Springfield,Hampden,-72.6048,42.1707
1103,MA,Springfield,Hampden,-72.5887,42.1029
1104,MA,Springfield,Hampden,-72.5778,42.1288
1105,MA,Springfield,Hampden,-72.5783,42.0999
1106,MA,Longmeadow,Hampden,-72.5676,42.0507
1107,MA,Springfield,Hampden,-72.6065,42.1179
1108,MA,Springfield,Hampden,-72.5584,42.0853
1109,MA,Springfield,Hampden,-72.5543,42.1145
1111,MA,Springfield,Hampden,-72.6048,42.1707
1115,MA,Springfield,Hampden,-72.5916,42.1029
1116,MA,Longmeadow,Hampden,-72.6048,42.1707
1118,MA,Springfield,Hampden,-72.5274,42.0929
1119,MA,Springfield,Hampden,-72.5121,42.1247
1128,MA,Springfield,Hampden,-72.4889,42.0944
1129,MA,Springfield,Hampden,-72.4876,42.1223
1138,MA,Springfield,Hampden,-72.6048,42.1707
1139,MA,Springfield,Hampden,-72.6048,42.1707
1144,MA,Springfield,Hampden,-72.5915,42.1018
1151,MA,Indian Orchard,Hampden,-72.505,42.1532
1152,MA,Springfield,Hampden,-72.6048,42.1707
1199,MA,Springfield,Hampden,-72.605,42.1199
1201,MA,Pittsfield,Berkshire,-73.2471,42.4531
1202,MA,Pittsfield,Berkshire,-73.2285,42.3929
1203,MA,Pittsfield,Berkshire,-73.2285,42.3929
1220,MA,Adams,Berkshire,-73.1172,42.6223
1222,MA,Ashley Falls,Berkshire,-73.3202,42.0596
1223,MA,Becket,Berkshire,-73.1203,42.3594
1224,MA,Berkshire,Berkshire,-73.1929,42.5126
1225,MA,Cheshire,Berkshire,-73.158,42.5611
1226,MA,Dalton,Berkshire,-73.1603,42.475
1227,MA,Dalton,Berkshire,-73.1662,42.4737
1229,MA,Glendale,Berkshire,-73.3435,42.2793
1230,MA,Great Barrington,Berkshire,-73.3607,42.1959
1235,MA,Hinsdale,Berkshire,-73.0724,42.4298
1236,MA,Housatonic,Berkshire,-73.3745,42.2653
1237,MA,Lanesborough,Berkshire,-73.2282,42.5173
1238,MA,Lee,Berkshire,-73.2317,42.299
1240,MA,Lenox,Berkshire,-73.2713,42.3642
1242,MA,Lenox Dale,Berkshire,-73.2509,42.3386
1243,MA,Middlefield,Hampshire,-73.0104,42.3561
1244,MA,Mill River,Berkshire,-73.254,42.1228
1245,MA,Monterey,Berkshire,-73.2065,42.1867
1247,MA,North Adams,Berkshire,-73.08,42.6955
1252,MA,North Egremont,Berkshire,-73.4462,42.1986
1253,MA,Otis,Berkshire,-73.0918,42.1931
1254,MA,Richmond,Berkshire,-73.3645,42.3784
1255,MA,Sandisfield,Berkshire,-73.1163,42.1094
1256,MA,Savoy,Berkshire,-73.0233,42.577
1257,MA,Sheffield,Berkshire,-73.3611,42.1001
1258,MA,South Egremont,Berkshire,-73.4566,42.1012
1259,MA,Southfield,Berkshire,-73.2609,42.078
1260,MA,South Lee,Berkshire,-73.2773,42.2779
1262,MA,Stockbridge,Berkshire,-73.3223,42.301
1263,MA,Stockbridge,Berkshire,-73.2285,42.3929
1264,MA,Tyringham,Berkshire,-73.1979,42.22
1266,MA,West Stockbridge,Berkshire,-73.3825,42.3348
1267,MA,Williamstown,Berkshire,-73.2036,42.7089
1270,MA,Windsor,Berkshire,-73.0412,42.515
1301,MA,Greenfield,Franklin,-72.6236,42.6013
1302,MA,Greenfield,Franklin,-72.6242,42.5222
1330,MA,Ashfield,Franklin,-72.811,42.5232
1331,MA,Athol,Worcester,-72.2267,42.5959
1337,MA,Bernardston,Franklin,-72.5772,42.6952
1338,MA,Buckland,Franklin,-72.8213,42.5736
1339,MA,Charlemont,Franklin,-72.8901,42.608
1340,MA,Colrain,Franklin,-72.7265,42.679
1341,MA,Conway,Franklin,-72.7025,42.5138
1342,MA,Deerfield,Franklin,-72.6072,42.5406
1343,MA,Drury,Berkshire,-72.9862,42.6427
1344,MA,Erving,Franklin,-72.4292,42.6076
1346,MA,Heath,Franklin,-72.8391,42.6853
1347,MA,Lake Pleasant,Franklin,-72.5181,42.5566
1349,MA,Millers Falls,Franklin,-72.4926,42.582
1350,MA,Monroe Bridge,Franklin,-72.9762,42.7215
1351,MA,Montague,Franklin,-72.5328,42.5429
1354,MA,Gill,Franklin,-72.4995,42.6404
1355,MA,New Salem,Franklin,-72.3062,42.5146
1360,MA,Northfield,Franklin,-72.451,42.6887
1364,MA,Orange,Franklin,-72.2924,42.6129
1366,MA,Petersham,Worcester,-72.1893,42.4898
1367,MA,Rowe,Franklin,-72.9258,42.6953
1368,MA,Royalston,Worcester,-72.1964,42.6722
1370,MA,Shelburne Falls,Franklin,-72.7391,42.6022
1373,MA,South Deerfield,Franklin,-72.6153,42.4756
1375,MA,Sunderland,Franklin,-72.5676,42.4539
1376,MA,Turners Falls,Franklin,-72.5557,42.5954
1378,MA,Warwick,Franklin,-72.3397,42.6671
1379,MA,Wendell,Franklin,-72.4009,42.5656
1380,MA,Wendell Depot,Franklin,-72.3927,42.5534
1420,MA,Fitchburg,Worcester,-71.8031,42.5796
1430,MA,Ashburnham,Worcester,-71.9267,42.6496
1431,MA,Ashby,Middlesex,-71.8174,42.6745
1432,MA,Ayer,Middlesex,-71.5788,42.5591
1434,MA,Devens,Worcester,-71.6115,42.5385
1436,MA,Baldwinville,Worcester,-72.0646,42.5936
1438,MA,East Templeton,Worcester,-72.037,42.5631
1440,MA,Gardner,Worcester,-71.9898,42.574
1441,MA,Westminster,Worcester,-71.9106,42.5459
1450,MA,Groton,Middlesex,-71.5584,42.6124
1451,MA,Harvard,Worcester,-71.5753,42.4986
1452,MA,Hubbardston,Worcester,-72.0012,42.4865
1453,MA,Leominster,Worcester,-71.7563,42.5274
1460,MA,Littleton,Middlesex,-71.4877,42.5401
1462,MA,Lunenburg,Worcester,-71.7266,42.5884
1463,MA,Pepperell,Middlesex,-71.5934,42.6689
1464,MA,Shirley,Middlesex,-71.6483,42.5734
1467,MA,Still River,Worcester,-71.6131,42.4871
1468,MA,Templeton,Worcester,-72.065,42.546
1469,MA,Townsend,Middlesex,-71.6896,42.6525
1470,MA,Groton,Middlesex,-71.5745,42.6112
1471,MA,Groton,Middlesex,-71.5745,42.6112
1472,MA,West Groton,Middlesex,-71.6273,42.6043
1473,MA,Westminster,Worcester,-71.9096,42.5483
1474,MA,West Townsend,Middlesex,-71.7522,42.6678
1475,MA,Winchendon,Worcester,-72.0475,42.6789
1501,MA,Auburn,Worcester,-71.8391,42.2055
1503,MA,Berlin,Worcester,-71.6356,42.3844
1504,MA,Blackstone,Worcester,-71.5269,42.0287
1505,MA,Boylston,Worcester,-71.731,42.3377
1506,MA,Brookfield,Worcester,-72.0989,42.1991
1507,MA,Charlton,Worcester,-71.9664,42.1379
1508,MA,Charlton City,Worcester,-71.9884,42.1459
1509,MA,Charlton Depot,Worcester,-71.9787,42.1731
1510,MA,Clinton,Worcester,-71.6828,42.4181
1515,MA,East Brookfield,Worcester,-72.0481,42.2193
1516,MA,Douglas,Worcester,-71.7509,42.0528
1518,MA,Fiskdale,Worcester,-72.1178,42.1228
1519,MA,Grafton,Worcester,-71.6868,42.2004
1520,MA,Holden,Worcester,-71.8414,42.342
1521,MA,Holland,Hampden,-72.1544,42.0403
1522,MA,Jefferson,Worcester,-71.8706,42.3755
1523,MA,Lancaster,Worcester,-71.6868,42.451
1524,MA,Leicester,Worcester,-71.9188,42.237
1525,MA,Linwood,Worcester,-71.6448,42.0973
1526,MA,Manchaug,Worcester,-71.7476,42.0945
1527,MA,Millbury,Worcester,-71.7644,42.1968
1529,MA,Millville,Worcester,-71.5798,42.0331
1531,MA,New Braintree,Worcester,-72.1306,42.3198
1532,MA,Northborough,Worcester,-71.6464,42.3182
1534,MA,Northbridge,Worcester,-71.6564,42.1494
1535,MA,North Brookfield,Worcester,-72.0821,42.2665
1536,MA,North Grafton,Worcester,-71.7037,42.2297
1537,MA,North Oxford,Worcester,-71.886,42.1655
1538,MA,North Uxbridge,Worcester,-71.6412,42.0876
1540,MA,Oxford,Worcester,-71.8687,42.1129
1541,MA,Princeton,Worcester,-71.8762,42.4508
1542,MA,Rochdale,Worcester,-71.9069,42.1997
1543,MA,Rutland,Worcester,-71.949,42.3762
1545,MA,Shrewsbury,Worcester,-71.7205,42.2848
1546,MA,Shrewsbury,Worcester,-71.8969,42.3648
1550,MA,Southbridge,Worcester,-72.0353,42.075
1560,MA,South Grafton,Worcester,-71.6927,42.176
1561,MA,South Lancaster,Worcester,-71.6861,42.4435
1562,MA,Spencer,Worcester,-71.9906,42.2441
1564,MA,Sterling,Worcester,-71.7752,42.4354
1566,MA,Sturbridge,Worcester,-72.0842,42.1126
1568,MA,Upton,Worcester,-71.6032,42.1756
1569,MA,Uxbridge,Worcester,-71.6329,42.0744
1570,MA,Webster,Worcester,-71.8486,42.0521
1571,MA,Dudley,Worcester,-71.8932,42.0489
1581,MA,Westborough,Worcester,-71.6176,42.2679
1583,MA,West Boylston,Worcester,-71.7838,42.3584
1585,MA,West Brookfield,Worcester,-72.1511,42.2441
1586,MA,West Millbury,Worcester,-71.8037,42.1712
1588,MA,Whitinsville,Worcester,-71.6644,42.1153
1590,MA,Sutton,Worcester,-71.7552,42.1266
1601,MA,Worcester,Worcester,-71.8023,42.2626
1602,MA,Worcester,Worcester,-71.8417,42.2703
1603,MA,Worcester,Worcester,-71.838,42.245
1604,MA,Worcester,Worcester,-71.7746,42.2541
1605,MA,Worcester,Worcester,-71.7888,42.2894
1606,MA,Worcester,Worcester,-71.7958,42.311
1607,MA,Worcester,Worcester,-71.7938,42.2303
1608,MA,Worcester,Worcester,-71.8003,42.2624
1609,MA,Worcester,Worcester,-71.8277,42.2826
1610,MA,Worcester,Worcester,-71.8108,42.2492
1611,MA,Cherry Valley,Worcester,-71.875,42.2373
1612,MA,Paxton,Worcester,-71.9202,42.3066
1613,MA,Worcester,Worcester,-71.802,42.2933
1614,MA,Worcester,Worcester,-71.8023,42.2626
1615,MA,Worcester,Worcester,-71.8023,42.2626
1653,MA,Worcester,Worcester,-71.8969,42.3648
1655,MA,Worcester,Worcester,-71.8969,42.3648
1701,MA,Framingham,Middlesex,-71.4255,42.3007
1702,MA,Framingham,Middlesex,-71.4339,42.2822
1703,MA,Framingham,Middlesex,-71.4594,42.4464
1704,MA,Framingham,Middlesex,-71.4594,42.4464
1705,MA,Framingham,Middlesex,-71.4594,42.4464
1718,MA,Acton,Middlesex,-71.4328,42.4851
1719,MA,Boxborough,Middlesex,-71.5178,42.4884
1720,MA,Acton,Middlesex,-71.4483,42.4751
1721,MA,Ashland,Middlesex,-71.4583,42.2539
1730,MA,Bedford,Middlesex,-71.2768,42.4843
1731,MA,Hanscom Afb,Middlesex,-71.2795,42.4567
1740,MA,Bolton,Worcester,-71.6076,42.4365
1741,MA,Carlisle,Middlesex,-71.3519,42.5286
1742,MA,Concord,Middlesex,-71.3747,42.4567
1745,MA,Fayville,Worcester,-71.5028,42.2934
1746,MA,Holliston,Middlesex,-71.4361,42.2026
1747,MA,Hopedale,Worcester,-71.5376,42.1268
1748,MA,Hopkinton,Middlesex,-71.5302,42.219
1749,MA,Hudson,Middlesex,-71.5609,42.3918
1752,MA,Marlborough,Middlesex,-71.5434,42.3509
1754,MA,Maynard,Middlesex,-71.455,42.4321
1756,MA,Mendon,Worcester,-71.5499,42.0967
1757,MA,Milford,Worcester,-71.5274,42.1511
1760,MA,Natick,Middlesex,-71.3574,42.2875
1770,MA,Sherborn,Middlesex,-71.3787,42.2331
1772,MA,Southborough,Worcester,-71.532,42.2939
1773,MA,Lincoln,Middlesex,-71.3137,42.4217
1775,MA,Stow,Middlesex,-71.515,42.4308
1776,MA,Sudbury,Middlesex,-71.4282,42.3837
1778,MA,Wayland,Middlesex,-71.3588,42.3486
1784,MA,Woodville,Middlesex,-71.562,42.2376
1801,MA,Woburn,Middlesex,-71.1574,42.4829
1803,MA,Burlington,Middlesex,-71.2004,42.5089
1805,MA,Burlington,Middlesex,-71.1956,42.5048
1810,MA,Andover,Essex,-71.1565,42.6496
1812,MA,Andover,Essex,-71.1842,42.6472
1813,MA,Woburn,Middlesex,-71.1523,42.4793
1815,MA,Woburn,Middlesex,-71.1523,42.4793
1821,MA,Billerica,Middlesex,-71.2518,42.5519
1822,MA,Billerica,Middlesex,-71.2689,42.5584
1824,MA,Chelmsford,Middlesex,-71.3556,42.5911
1826,MA,Dracut,Middlesex,-71.3186,42.6764
1827,MA,Dunstable,Middlesex,-71.4952,42.6739
1830,MA,Haverhill,Essex,-71.0721,42.7856
1831,MA,Haverhill,Essex,-71.1221,42.7711
1832,MA,Haverhill,Essex,-71.1095,42.7792
1833,MA,Georgetown,Essex,-70.9822,42.7281
1834,MA,Groveland,Essex,-71.027,42.753
1835,MA,Haverhill,Essex,-71.0843,42.7528
1840,MA,Lawrence,Essex,-71.1638,42.708
1841,MA,Lawrence,Essex,-71.167,42.7115
1842,MA,Lawrence,Essex,-71.1631,42.707
1843,MA,Lawrence,Essex,-71.1605,42.6911
1844,MA,Methuen,Essex,-71.181,42.728
1845,MA,North Andover,Essex,-71.109,42.6826
1850,MA,Lowell,Middlesex,-71.3051,42.656
1851,MA,Lowell,Middlesex,-71.3329,42.6315
1852,MA,Lowell,Middlesex,-71.2983,42.6344
1853,MA,Lowell,Middlesex,-71.3162,42.6334
1854,MA,Lowell,Middlesex,-71.3355,42.6493
1860,MA,Merrimac,Essex,-71.0047,42.8346
1862,MA,North Billerica,Middlesex,-71.2902,42.5757
1863,MA,North Chelmsford,Middlesex,-71.3908,42.6347
1864,MA,North Reading,Middlesex,-71.0947,42.5819
1865,MA,Nutting Lake,Middlesex,-71.2689,42.5379
1866,MA,Pinehurst,Middlesex,-71.2281,42.5293
1867,MA,Reading,Middlesex,-71.109,42.528
1876,MA,Tewksbury,Middlesex,-71.2232,42.6028
1879,MA,Tyngsboro,Middlesex,-71.4158,42.6724
1880,MA,Wakefield,Middlesex,-71.0685,42.5009
1885,MA,West Boxford,Essex,-71.0639,42.707
1886,MA,Westford,Middlesex,-71.4401,42.5864
1887,MA,Wilmington,Middlesex,-71.1723,42.5581
1888,MA,Woburn,Middlesex,-71.1523,42.4793
1889,MA,North Reading,Middlesex,-71.1096,42.5716
1890,MA,Winchester,Middlesex,-71.1441,42.453
1899,MA,Andover,Essex,-71.137,42.6584
1901,MA,Lynn,Essex,-70.9467,42.4612
1902,MA,Lynn,Essex,-70.942,42.4698
1903,MA,Lynn,Essex,-70.9495,42.4668
1904,MA,Lynn,Essex,-70.9647,42.4889
1905,MA,Lynn,Essex,-70.9728,42.4694
1906,MA,Saugus,Essex,-71.0111,42.4633
1907,MA,Swampscott,Essex,-70.9098,42.4746
1908,MA,Nahant,Essex,-70.9277,42.4261
1910,MA,Lynn,Essex,-70.9747,42.4548
1913,MA,Amesbury,Essex,-70.9367,42.8559
1915,MA,Beverly,Essex,-70.8759,42.5608
1921,MA,Boxford,Essex,-71.0114,42.6797
1922,MA,Byfield,Essex,-70.9351,42.7568
1923,MA,Danvers,Essex,-70.9425,42.5694
1929,MA,Essex,Essex,-70.7828,42.6286
1930,MA,Gloucester,Essex,-70.6721,42.6208
1931,MA,Gloucester,Essex,-70.662,42.6159
1936,MA,Hamilton,Essex,-70.8791,42.6354
1937,MA,Hathorne,Essex,-70.8791,42.6354
1938,MA,Ipswich,Essex,-70.8494,42.6809
1940,MA,Lynnfield,Essex,-71.0339,42.5327
1944,MA,Manchester,Essex,-70.7674,42.5796
1945,MA,Marblehead,Essex,-70.8653,42.4984
1949,MA,Middleton,Essex,-71.013,42.5942
1950,MA,Newburyport,Essex,-70.8847,42.813
1951,MA,Newbury,Essex,-70.8474,42.7835
1952,MA,Salisbury,Essex,-70.8588,42.8507
1960,MA,Peabody,Essex,-70.9612,42.5326
1961,MA,Peabody,Essex,-70.8791,42.6354
1965,MA,Prides Crossing,Essex,-70.8257,42.5581
1966,MA,Rockport,Essex,-70.6194,42.658
1969,MA,Rowley,Essex,-70.907,42.7138
1970,MA,Salem,Essex,-70.9003,42.5151
1971,MA,Salem,Essex,-70.8791,42.6354
1982,MA,South Hamilton,Essex,-70.8561,42.6185
1983,MA,Topsfield,Essex,-70.9488,42.6415
1984,MA,Wenham,Essex,-70.8786,42.6017
1985,MA,West Newbury,Essex,-70.9778,42.7949
2018,MA,Accord,Plymouth,-70.8837,42.1745
2019,MA,Bellingham,Norfolk,-71.4768,42.0746
2020,MA,Brant Rock,Plymouth,-70.6439,42.0818
2021,MA,Canton,Norfolk,-71.1355,42.1645
2025,MA,Cohasset,Norfolk,-70.8128,42.2395
2026,MA,Dedham,Norfolk,-71.1637,42.2437
2027,MA,Dedham,Norfolk,-71.0892,42.18
2030,MA,Dover,Norfolk,-71.2854,42.2362
2032,MA,East Walpole,Norfolk,-71.2179,42.1532
2035,MA,Foxboro,Norfolk,-71.2441,42.0649
2038,MA,Franklin,Norfolk,-71.4058,42.0935
2040,MA,Greenbush,Plymouth,-70.7495,42.1793
2041,MA,Green Harbor,Plymouth,-70.6491,42.0696
2043,MA,Hingham,Plymouth,-70.8911,42.2245
2044,MA,Hingham,Plymouth,-70.8898,42.2418
2045,MA,Hull,Plymouth,-70.8754,42.2853
2047,MA,Humarock,Plymouth,-70.6935,42.1428
2048,MA,Mansfield,Bristol,-71.2178,42.0212
2050,MA,Marshfield,Plymouth,-70.6993,42.1062
2051,MA,Marshfield Hills,Plymouth,-70.7341,42.1512
2052,MA,Medfield,Norfolk,-71.3048,42.1845
2053,MA,Medway,Norfolk,-71.4217,42.1514
2054,MA,Millis,Norfolk,-71.3607,42.1669
2055,MA,Minot,Plymouth,-70.762,42.2404
2056,MA,Norfolk,Norfolk,-71.3269,42.1177
2059,MA,North Marshfield,Plymouth,-70.7703,42.1432
2060,MA,North Scituate,Plymouth,-70.7856,42.219
2061,MA,Norwell,Plymouth,-70.8217,42.1596
2062,MA,Norwood,Norfolk,-71.2033,42.1868
2065,MA,Ocean Bluff,Plymouth,-70.6516,42.0972
2066,MA,Scituate,Plymouth,-70.7525,42.2032
2067,MA,Sharon,Norfolk,-71.1759,42.1094
2070,MA,Sheldonville,Norfolk,-71.387,42.0348
2071,MA,South Walpole,Norfolk,-71.2752,42.0992
2072,MA,Stoughton,Norfolk,-71.1074,42.1253
2081,MA,Walpole,Norfolk,-71.2544,42.1444
2090,MA,Westwood,Norfolk,-71.2104,42.2148
2093,MA,Wrentham,Norfolk,-71.3396,42.0617
2108,MA,Boston,Suffolk,-71.0684,42.3576
2109,MA,Boston,Suffolk,-71.0545,42.36
2110,MA,Boston,Suffolk,-71.0514,42.3576
2111,MA,Boston,Suffolk,-71.0629,42.3503
2112,MA,Boston,Suffolk,-71.0598,42.3584
2113,MA,Boston,Suffolk,-71.056,42.3657
2114,MA,Boston,Suffolk,-71.0682,42.3611
2115,MA,Boston,Suffolk,-71.0922,42.3427
2116,MA,Boston,Suffolk,-71.0768,42.3492
2117,MA,Boston,Suffolk,-71.058,42.3585
2118,MA,Boston,Suffolk,-71.0729,42.3362
2119,MA,Roxbury,Suffolk,-71.0953,42.3251
2120,MA,Roxbury Crossing,Suffolk,-71.0912,42.3307
2121,MA,Dorchester,Suffolk,-71.0745,42.2973
2122,MA,Dorchester,Suffolk,-71.0745,42.2973
2123,MA,Boston,Suffolk,-70.9196,42.3389
2124,MA,Dorchester Center,Suffolk,-71.0717,42.2918
2125,MA,Dorchester,Suffolk,-71.0745,42.2973
2126,MA,Mattapan,Suffolk,-71.0939,42.2739
2127,MA,Boston,Suffolk,-71.0375,42.3347
2128,MA,Boston,Suffolk,-71.0257,42.3642
2129,MA,Charlestown,Suffolk,-71.0627,42.3778
2130,MA,Jamaica Plain,Suffolk,-71.1115,42.3126
2131,MA,Roslindale,Suffolk,-71.1295,42.2836
2132,MA,West Roxbury,Suffolk,-71.1589,42.2787
2133,MA,Boston,Suffolk,-71.0598,42.3584
2134,MA,Allston,Suffolk,-71.1329,42.3535
2135,MA,Brighton,Suffolk,-71.1566,42.3478
2136,MA,Hyde Park,Suffolk,-71.1261,42.254
2137,MA,Readville,Suffolk,-71.137,42.2404
2138,MA,Cambridge,Middlesex,-71.1256,42.377
2139,MA,Cambridge,Middlesex,-71.1042,42.3647
2140,MA,Cambridge,Middlesex,-71.1338,42.3932
2141,MA,Cambridge,Middlesex,-71.0836,42.3687
2142,MA,Cambridge,Middlesex,-71.083,42.362
2143,MA,Somerville,Middlesex,-71.1028,42.3829
2144,MA,Somerville,Middlesex,-71.1221,42.4003
2145,MA,Somerville,Middlesex,-71.0929,42.3907
2148,MA,Malden,Middlesex,-71.0605,42.4291
2149,MA,Everett,Middlesex,-71.0514,42.4112
2150,MA,Chelsea,Suffolk,-71.0325,42.3963
2151,MA,Revere,Suffolk,-71.0052,42.4138
2152,MA,Winthrop,Suffolk,-70.98,42.3763
2153,MA,Medford,Middlesex,-71.1062,42.4184
2155,MA,Medford,Middlesex,-71.1087,42.4173
2156,MA,West Medford,Middlesex,-71.1328,42.4223
2163,MA,Boston,Suffolk,-71.1122,42.3253
2169,MA,Quincy,Norfolk,-70.9978,42.2491
2170,MA,Quincy,Norfolk,-71.0186,42.2671
2171,MA,Quincy,Norfolk,-71.0241,42.2825
2176,MA,Melrose,Middlesex,-71.0632,42.4581
2180,MA,Stoneham,Middlesex,-71.0978,42.4828
2184,MA,Braintree,Norfolk,-70.9963,42.2093
2185,MA,Braintree,Norfolk,-71.0892,42.18
2186,MA,Milton,Norfolk,-71.0771,42.2537
2187,MA,Milton Village,Norfolk,-71.0717,42.2668
2188,MA,Weymouth,Norfolk,-70.9582,42.2113
2189,MA,East Weymouth,Norfolk,-70.9203,42.214
2190,MA,South Weymouth,Norfolk,-70.9495,42.1751
2191,MA,North Weymouth,Norfolk,-70.9467,42.2459
2196,MA,Boston,Suffolk,-71.0598,42.3584
2199,MA,Boston,Suffolk,-71.0825,42.3479
2201,MA,Boston,Suffolk,-71.0598,42.3584
2203,MA,Boston,Suffolk,-71.0604,42.3615
2204,MA,Boston,Suffolk,-70.9196,42.3389
2205,MA,Boston,Suffolk,-71.0539,42.3503
2206,MA,Boston,Suffolk,-70.9196,42.3389
2210,MA,Boston,Suffolk,-71.0465,42.3489
2211,MA,Boston,Suffolk,-71.0598,42.3584
2212,MA,Boston,Middlesex,-71.0598,42.3584
2215,MA,Boston,Suffolk,-71.1027,42.3471
2217,MA,Boston,Suffolk,-70.9196,42.3389
2222,MA,Boston,Suffolk,-71.0633,42.3644
2238,MA,Cambridge,Middlesex,-71.1056,42.3751
2241,MA,Boston,Suffolk,-71.0598,42.3584
2266,MA,Boston,Suffolk,-71.0598,42.3584
2269,MA,Quincy,Norfolk,-71.0023,42.2529
2283,MA,Boston,Suffolk,-70.9196,42.3389
2284,MA,Boston,Suffolk,-70.9196,42.3389
2293,MA,Boston,Suffolk,-71.0598,42.3584
2297,MA,Boston,Suffolk,-71.0598,42.3584
2298,MA,Boston,Suffolk,-71.0323,42.3823
2301,MA,Brockton,Plymouth,-71.04,42.0794
2302,MA,Brockton,Plymouth,-71.0002,42.0847
2303,MA,Brockton,Plymouth,-71.0184,42.0834
2304,MA,Brockton,Plymouth,-71.0184,42.0834
2305,MA,Brockton,Plymouth,-71.0184,42.0834
2322,MA,Avon,Norfolk,-71.0437,42.1258
2324,MA,Bridgewater,Plymouth,-70.9723,41.9773
2325,MA,Bridgewater,Plymouth,-70.9728,41.9873
2327,MA,Bryantville,Plymouth,-70.8272,42.0407
2330,MA,Carver,Plymouth,-70.7678,41.8883
2331,MA,Duxbury,Plymouth,-70.7014,41.9705
2332,MA,Duxbury,Plymouth,-70.7163,42.0399
2333,MA,East Bridgewater,Plymouth,-70.945,42.0315
2334,MA,Easton,Bristol,-71.1324,42.0235
